deviceid,qid,choices,timestamp,pos_id
51,0,"{
  index: 6,
  mappedValue: '문화시설',
  prompt: '문화시설(예: 도서관, 미술관, 박물관, 공연장, 영화관 등)'
}",2019-10-24T11:04:59.140Z,20478
51,1,"{ index: 2, mappedValue: '지하철, 전철', prompt: '지하철, 전철' }",2019-10-24T11:05:20.372Z,20478
51,2,"{ index: 4, mappedValue: '5', prompt: '매우 만족' }",2019-10-24T11:05:35.631Z,20478
51,3,"{ index: 4, mappedValue: '5', prompt: '매우 높다(접근하기 매우 쉽다)' }",2019-10-24T11:05:51.868Z,20478
51,4,"{ index: 4, mappedValue: '5', prompt: '매우 만족' }",2019-10-24T11:06:14.498Z,20478
51,0,"{ index: 0, mappedValue: '집', prompt: '집' }",2019-10-25T13:15:45.664Z,21023
51,1,"{ index: 2, mappedValue: '지하철, 전철', prompt: '지하철, 전철' },{ index: 6, mappedValue: '전동 휠체어', prompt: '전동 휠체어' },{ index: 8, mappedValue: '도보', prompt: '도보' }",2019-10-25T13:13:40.073Z,21023
51,2,"{ index: 4, mappedValue: '5', prompt: '매우 만족' }",2019-10-25T13:13:59.280Z,21023
51,3,"{ index: 4, mappedValue: '5', prompt: '매우 높다(접근하기 매우 쉽다)' }",2019-10-25T13:14:09.715Z,21023
51,4,"{ index: 4, mappedValue: '5', prompt: '매우 만족' }",2019-10-25T13:14:30.383Z,21023
51,0,"{ index: 3, mappedValue: '교육시설', prompt: '교육시설(예: 학교, 어린이집 등)' }",2019-10-25T13:09:35.210Z,22185
51,1,"{ index: 2, mappedValue: '지하철, 전철', prompt: '지하철, 전철' }",2019-10-25T13:11:51.595Z,22185
51,2,"{ index: 4, mappedValue: '5', prompt: '매우 만족' }",2019-10-24T11:09:39.107Z,22185
51,3,"{ index: 4, mappedValue: '5', prompt: '매우 높다(접근하기 매우 쉽다)' }",2019-10-24T11:09:49.162Z,22185
51,4,"{ index: 4, mappedValue: '5', prompt: '매우 만족' }",2019-10-24T11:10:06.785Z,22185
53,0,"{ index: 8, mappedValue: '기타', prompt: '기타(예: 지인의 주거지) ' }",2019-10-25T13:16:59.804Z,20884
53,1,"{ index: 0, mappedValue: '일반버스, 저상버스', prompt: '일반버스, 저상버스' }",2019-10-25T13:17:31.843Z,20884
53,2,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-25T13:17:53.724Z,20884
53,3,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-25T13:18:05.433Z,20884
53,4,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-24T11:17:29.858Z,20884
53,0,"{ index: 0, mappedValue: '집', prompt: '집' }",2019-10-31T15:15:19.530Z,24139
53,1,"{ index: 7, mappedValue: '전동 스쿠터', prompt: '전동 스쿠터' }",2019-10-31T15:15:27.520Z,24139
53,2,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-25T13:18:37.074Z,24139
53,3,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-24T11:18:21.499Z,24139
53,4,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-25T13:18:45.223Z,24139
54,0,"{ index: 0, mappedValue: '집', prompt: '집' },{ index: 5, mappedValue: '복지시설', prompt: '복지시설(예: 행정기관, 복지관 등)' }",2019-10-24T11:42:32.518Z,20566
54,1,"{ index: 5, mappedValue: '자가용', prompt: '자가용' },{ index: 7, mappedValue: '전동 스쿠터', prompt: '전동 스쿠터' },{ index: 8, mappedValue: '도보', prompt: '도보' }",2019-10-24T11:43:34.665Z,20566
54,2,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-24T11:44:04.228Z,20566
54,3,"{ index: 3, mappedValue: '4', prompt: '높다' }",2019-10-24T11:44:35.165Z,20566
54,4,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-24T11:45:00.988Z,20566
64,0,"{ index: 0, mappedValue: '집', prompt: '집' }",2019-10-25T10:05:45.862Z,35033
64,1,"{ index: 6, mappedValue: '전동 휠체어', prompt: '전동 휠체어' }",2019-10-25T10:05:57.867Z,35033
64,2,"{ index: 3, mappedValue: '4', prompt: '만족' }",2019-10-25T10:06:08.507Z,35033
64,3,"{ index: 4, mappedValue: '5', prompt: '매우 높다(접근하기 매우 쉽다)' }",2019-10-25T10:06:17.856Z,35033
64,4,"{ index: 3, mappedValue: '4', prompt: '만족' }",2019-10-25T10:06:26.691Z,35033
58,0,"{ index: 7, mappedValue: '체육시설', prompt: '체육시설(예: 운동장, 체육관 등)' }",2019-10-25T11:02:41.044Z,31539
60,0,"{ index: 0, mappedValue: '집', prompt: '집' }",2019-10-25T11:02:43.687Z,
58,1,"{ index: 5, mappedValue: '자가용', prompt: '자가용' }",2019-10-25T11:02:46.446Z,31539
58,2,"{ index: 1, mappedValue: '2', prompt: '불만족' }",2019-10-25T11:02:52.524Z,31539
60,1,"{ index: 7, mappedValue: '전동 스쿠터', prompt: '전동 스쿠터' }",2019-10-25T11:02:54.896Z,
58,3,"{ index: 0, mappedValue: '1', prompt: '매우 낮다(접근하기 매우 어렵다) ' }",2019-10-25T11:02:57.126Z,31539
60,2,"{ index: 3, mappedValue: '4', prompt: '만족' }",2019-10-25T11:03:01.139Z,
58,4,"{ index: 1, mappedValue: '2', prompt: '불만족' }",2019-10-25T11:03:04.296Z,31539
60,3,"{ index: 4, mappedValue: '5', prompt: '매우 높다(접근하기 매우 쉽다)' }",2019-10-25T11:03:13.736Z,
60,4,"{ index: 2, mappedValue: '3', prompt: '보통' }",2019-10-25T11:03:21.079Z,
58,0,"{ index: 1, mappedValue: '직장', prompt: '직장' }",2019-10-25T11:03:23.072Z,30881
58,1,"{ index: 2, mappedValue: '지하철, 전철', prompt: '지하철, 전철' }",2019-10-25T11:03:26.365Z,30881
58,2,"{ index: 1, mappedValue: '2', prompt: '불만족' }",2019-10-25T11:03:30.964Z,30881
58,3,"{ index: 4, mappedValue: '5', prompt: '매우 높다(접근하기 매우 쉽다)' }",2019-10-25T11:03:39.811Z,30881
58,4,"{ index: 3, mappedValue: '4', prompt: '만족' }",2019-10-25T11:03:44.662Z,30881
